"Food, Varietal, Parts, Form (pear, Bartlet, whole without seeds, fresh) ",water content, Detailed Sample Description,Simple name,glycan_food_class,Unique Identifier Code,Mass of weighed sample,Glucose,Galactose,Fructose,Xylose,Arabinose,Fucose,Rhamnose,GlcA,GalA,GlcNAc,GalNAc,Mannose,Allose,Ribose,
"Apple, envy, whole without seeds, fresh",0.807946907,"Apple, envy, whole without seeds, fresh, 80.7946907461471",Whole envy apple w/o seed,Fruits,1,10.23,0.045520232,0.001676431,0.024157398,0.00122357,0.001991591,0.000362404,0.000136166,0,0.002397399,0,0,0,0,5.86E-05,
"Apple, envy, peel only, fresh",0.740186852,"Apple, envy, peel only, fresh, 74.0186851921563",Envy apple skin only ,Fruits,2,10.29,0.043722915,0.005732777,0.016875903,0.002998504,0.005309282,0.001097191,0.000353606,0,0.00709134,0,0,0.001020026,0,0,
"Apple, envy flesh only, fresh",0.807884603,"Apple, envy flesh only, fresh, 80.788460311044",Envy apple flesh only ,Fruits,3,10.07,0.036137483,0.001788018,0.020516195,0.001432412,0.001416467,0.000455698,0.000127565,0,0.001815491,0,0,0,0,0,
"Apple, jazz, whole without seeds, fresh",0.852902479,"Apple, jazz, whole without seeds, fresh, 85.2902478816904",Whole jazz apple w/o seed,Fruits,4,10.26,0.025297832,0.001420374,0.018067106,0.001736192,0.001011001,0.000478802,0.000149598,0,0.002270892,0,0,0,0,0,
"Apple, jazz, peel only, fresh",0.807859409,"Apple, jazz, peel only, fresh, 80.7859409323896",Jazz apple skin only,Fruits,5,10.18,0.02613381,0.003795737,0.016262972,0.003012764,0.004183861,0.001044092,0.000389661,0,0.006910528,0,0,0.000512055,0,0,
"Apple, jazz, flesh only, fresh",0.867020936,"Apple, jazz, flesh only, fresh, 86.7020936039439",Jazz apple flesh only ,Fruits,6,10.17,0.023987428,0.000879258,0.017287012,0.001370615,0.000606783,0.000304655,0.000108112,0,0.001763036,0,0,0,0,0,
"Apple, honeyscrisp, whole without seeds, fresh",0.857306629,"Apple, honeyscrisp, whole without seeds, fresh, 85.7306628902825",Whole Honeycrips apple w/o seed ,Fruits,7,10.29,0.024301537,0.000992432,0.019624905,0.000909956,0.00114968,0.000340752,0.000114725,0,0.001504274,0,0,4.94E-05,0,0,
"Apple, honeyscrisp, peel only, fresh",0.826830128,"Apple, honeyscrisp, peel only, fresh, 82.6830128404589",Honeycrips apple skin only,Fruits,8,10.27,0.031350674,0.00224203,0.018729707,0.001854476,0.003069955,0.000573365,0.000273262,0,0.003885239,0,0,0.000191353,0,0,
"Apple, honeyscrisp, flesh only, fresh",0.868573605,"Apple, honeyscrisp, flesh only, fresh, 86.8573605406122",Honeycrips apple flesh only,Fruits,9,10.41,0.020331532,0.000845466,0.020563237,0.000891597,0.000798021,0.000302018,0.000104484,0,0.001243819,0,0,0,0,0,
"Apple, pink lady, whole without seed, fresh",0.841354651,"Apple, pink lady, whole without seed, fresh, 84.1354651280905",Whole Pink Lady apple w/o seed ,Fruits,10,10.01,0.02727875,0.001665935,0.021138699,0.001434313,0.002434889,0.000462927,0.00018149,0,0.002984595,0,0,0.000307931,0,0,
"Apple, pink lady, peel only, fresh",0.785769157,"Apple, pink lady, peel only, fresh, 78.5769156904168",Pink Lady apple skin only,Fruits,11,10.47,0.02255915,0.002529209,0.014895685,0.001894015,0.004400944,0.000486518,0.000299495,0,0.006374439,0,0,0,0,0,
"Apple, pink lady, flesh only, fresh",0.845235176,"Apple, pink lady, flesh only, fresh, 84.5235175830104",Pink Lady apple flesh only,Fruits,12,10.42,0.028676065,0.001832416,0.023707804,0.001492861,0.002398545,0.000603119,0.000173956,0,0.002392045,0,0,0,0,0,
"Apple, fuji, whole without seed, fresh",0.838135888,"Apple, fuji, whole without seed, fresh, 83.8135888182601",Whole Fuji apple w/o seed ,Fruits,13,10.18,0.021869298,0.000375363,0.020845832,0.001068789,0.001050822,0.00025267,0.000115247,0,0.001529778,0,0,0,0,0,
"Apple, fuji, peel only, fresh",0.777418448,"Apple, fuji, peel only, fresh, 77.7418447694038",Fuji apple skin only,Fruits,14,10.21,0.042262672,0.005960734,0.043722585,0.003866464,0.006072692,0.000780594,0.000591844,0,0.010181103,0,0,0.000608983,0.000100384,0,
"Apple, fuji, flesh only, fresh",0.837095313,"Apple, fuji, flesh only, fresh, 83.7095313360209",Fuji apple flesh only,Fruits,15,10.15,0.029275113,0.001457834,0.029829151,0.001934819,0.001321483,0.000350571,0.000160298,0,0.001701377,0,0,0,0,0,
"Apple, gala, whole without seed, fresh",0.855378989,"Apple, gala, whole without seed, fresh, 85.5378988701926",Whole Gala apple w/o seed ,Fruits,16,10.08,0.025490755,0.001688016,0.023345447,0.002825895,0.001657501,0.000646167,0.000214907,0,0.002437587,0,0,0,0,0,
"Apple, gala, peel only, fresh",0.788181621,"Apple, gala, peel only, fresh, 78.8181620682164",Gala apple skin only,Fruits,17,10.23,0.028546551,0.005694737,0.04057254,0.004712112,0.006206702,0.000914632,0.000690952,0,0.010081496,0,0,0.000241049,9.76E-05,0,
"Apple, gala, flesh only, fresh",0.854396827,"Apple, gala, flesh only, fresh, 85.4396826573738",Gala apple flesh only,Fruits,18,10.3,0.031631125,0.001692491,0.022360716,0.002782477,0.001316544,0.00058416,0.000153175,0,0.002120856,0,0,0,0,0,
