Ingredient code,Ingredient description_x,Ingredient weight (g)_x,Ingredient_subcode,Ingredient description_y,Ingredient weight (g)_y
81200100,"Oil or table fat, NFS",3,1001,"Butter, salted",60
81200100,"Oil or table fat, NFS",3,4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",40
81200100,"Oil or table fat, NFS",3,4044,"Oil, soybean, salad or cooking",50
81200100,"Oil or table fat, NFS",3,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
81200100,"Oil or table fat, NFS",3,4582,"Oil, canola",15
81200100,"Oil or table fat, NFS",3,4053,"Oil, olive, salad or cooking",25
82101000,"Vegetable oil, NFS",4.667,4044,"Oil, soybean, salad or cooking",50
82101000,"Vegetable oil, NFS",4.667,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
82101000,"Vegetable oil, NFS",4.667,4582,"Oil, canola",15
82101000,"Vegetable oil, NFS",4.667,4053,"Oil, olive, salad or cooking",25
11100000,"Milk, NFS",61,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",35
11100000,"Milk, NFS",61,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",37
11100000,"Milk, NFS",61,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",17
11100000,"Milk, NFS",61,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",11
81100000,"Table fat, NFS",56,1001,"Butter, salted",60
81100000,"Table fat, NFS",56,4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",40
41302010,"Chickpeas, from dried, fat added",100,16057,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",100
41302010,"Chickpeas, from dried, fat added",100,4044,"Oil, soybean, salad or cooking",50
41302010,"Chickpeas, from dried, fat added",100,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
41302010,"Chickpeas, from dried, fat added",100,4582,"Oil, canola",15
41302010,"Chickpeas, from dried, fat added",100,4053,"Oil, olive, salad or cooking",25
41302010,"Chickpeas, from dried, fat added",100,2047,"Salt, table, iodized",0.6
99991400,Cheese as ingredient in sandwiches,42,1253,"Cheese, pasteurized process, American, without added vitamin D",30
99991400,Cheese as ingredient in sandwiches,42,1252,"Cheese product, pasteurized process, American, vitamin D fortified",20
99991400,Cheese as ingredient in sandwiches,42,1009,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",25
99991400,Cheese as ingredient in sandwiches,42,1040,"Cheese, swiss",10
99991400,Cheese as ingredient in sandwiches,42,1035,"Cheese, provolone",5
99991400,Cheese as ingredient in sandwiches,42,1029,"Cheese, mozzarella, low moisture, part-skim",4
99991400,Cheese as ingredient in sandwiches,42,1215,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",3
